Error J1	Error J2	Position J1	Position J2	desTorque1	desTorque2	coriolis1	coriolis2	grav1	grav2	time	
1.0472	-6.28319	-3.14159	6.28319	-99.9343	-102.438	0	0	-6.00475e-17	1.20395e-14	0	
1.0472	-6.28319	-3.14159	6.28319	-3.14788	-1.68032	0	0	-6.00475e-17	1.20395e-14	0	
1.0472	-6.28319	-3.14159	6.28319	-3.14788	-1.68032	0	0	-6.00475e-17	1.20395e-14	0	
1.0472	-6.28319	-3.14159	6.28319	-3.14788	-1.68032	2.01052e-21	-1.49593e-22	-6.00475e-17	1.20395e-14	0.00333333	
1.0472	-6.28318	-3.14159	6.28318	-3.14682	-1.67976	2.29227e-11	-1.70556e-12	0.000159859	0.000217339	0.00333333	
1.0472	-6.28318	-3.14159	6.28318	-3.14655	-1.67962	1.15987e-10	-8.63002e-12	0.000359684	0.000489013	0.005	
1.04719	-6.28316	-3.14159	6.28316	-3.14072	-1.6765	1.85455e-09	-1.37987e-10	0.00143801	0.00195506	0.01	
1.04719	-6.28316	-3.14159	6.28316	-3.14787	-1.68032	1.85377e-09	-1.37929e-10	0.00143833	0.0019555	0.01	
1.04717	-6.28308	-3.14157	6.28308	-3.11606	-1.66334	5.71536e-08	-4.25249e-09	0.00623095	0.00847137	0.0266667	
1.04716	-6.28301	-3.14156	6.28301	-3.12131	-1.66614	9.32197e-08	-6.93596e-09	0.0102274	0.0139048	0.0266667	
1.04713	-6.28288	-3.14153	6.28288	-3.09905	-1.65426	2.75214e-07	-2.0477e-08	0.0175739	0.0238928	0.035	
1.04701	-6.28229	-3.14141	6.28229	-2.9225	-1.56002	2.31991e-06	-1.72607e-07	0.0515109	0.0700323	0.06	
1.04701	-6.28229	-3.14141	6.28229	-3.14816	-1.68047	2.30019e-06	-1.71139e-07	0.0514125	0.0698984	0.06	
1.04714	-6.28291	-3.14153	6.28291	-3.38256	-1.80559	2.22479e-07	-1.65533e-08	0.0159998	0.0217527	0.0333333	
1.04674	-6.281	-3.14114	6.281	-2.42397	-1.2939	1.69031e-05	-1.2576e-06	0.125047	0.170009	0.103462	
1.04664	-6.28053	-3.14104	6.28053	-2.96657	-1.58354	1.86156e-05	-1.38496e-06	0.152226	0.206959	0.103462	
1.04641	-6.27941	-3.14081	6.27941	-2.72359	-1.45384	4.09809e-05	-3.04874e-06	0.215983	0.293639	0.125192	
1.04529	-6.27403	-3.13969	6.27403	-1.10255	-0.588541	0.000184909	-1.37535e-05	0.52389	0.712246	0.190385	
1.0454	-6.27454	-3.13979	6.27454	-3.33627	-1.78092	0.000170579	-1.26875e-05	0.494928	0.672871	0.190385	
1.04697	-6.28208	-3.14136	6.28208	-6.00841	-3.20726	3.49336e-06	-2.59913e-07	0.0634209	0.0862245	0.0666667	
1.04667	-6.28068	-3.14107	6.28068	-2.6153	-1.39603	1.58789e-05	-1.18137e-06	0.143591	0.19522	0.1	
1.04628	-6.27876	-3.14067	6.27876	-2.4179	-1.29067	4.38596e-05	-3.26284e-06	0.253412	0.344525	0.133333	
1.04579	-6.27642	-3.14018	6.27642	-2.25554	-1.204	9.94534e-05	-7.39787e-06	0.387572	0.526919	0.166667	
1.04431	-6.26931	-3.1387	6.26931	-0.443693	-0.236838	0.000546866	-4.06689e-05	0.794544	1.0802	0.2541	
1.04408	-6.26823	-3.13848	6.26823	-2.7311	-1.45795	0.00044949	-3.34235e-05	0.856443	1.16434	0.2541	
1.04347	-6.26531	-3.13787	6.26531	-2.0343	-1.08601	0.000831355	-6.18109e-05	1.02324	1.39109	0.285957	
1.03977	-6.24754	-3.13417	6.24754	3.61288	1.92953	0.00182095	-0.000135311	2.04056	2.77412	0.38153	
1.0445	-6.27025	-3.1389	6.27025	-11.7645	-6.28018	0.000457183	-3.40002e-05	0.740407	1.0066	0.242587	
1.04435	-6.26953	-3.13875	6.26953	-2.86658	-1.53025	0.000840592	-6.25057e-05	0.781957	1.06308	0.242587	
1.04329	-6.26441	-3.13768	6.26441	-1.19877	-0.639959	0.000783175	-5.82335e-05	1.07471	1.46107	0.268688	
1.04336	-6.26477	-3.13776	6.26477	-3.27749	-1.7497	0.000313172	-2.32557e-05	1.05398	1.43287	0.346991	
1.04491	-6.27222	-3.13931	6.27222	-5.97107	-3.18745	0.000302558	-2.25021e-05	0.627491	0.85309	0.218574	
1.04487	-6.27201	-3.13927	6.27201	-3.06281	-1.63497	0.00034719	-2.58206e-05	0.639608	0.869561	0.218574	
1.04453	-6.2704	-3.13893	6.2704	-2.5312	-1.35121	0.000398722	-2.96518e-05	0.7318	0.994894	0.232669	
1.04376	-6.26667	-3.13815	6.26667	-1.72599	-0.9214	0.000594665	-4.42134e-05	0.945189	1.28499	0.274954	
1.04362	-6.266	-3.13801	6.266	-2.88244	-1.53878	0.000680073	-5.0565e-05	0.984114	1.3379	0.274954	
1.04523	-6.27373	-3.13962	6.27373	-6.07844	-3.24473	0.0002091	-1.55521e-05	0.541529	0.736224	0.2	
1.04457	-6.27056	-3.13896	6.27056	-1.94117	-1.03623	0.00037088	-2.75812e-05	0.722722	0.982552	0.233333	
1.04382	-6.26695	-3.13821	6.26695	-1.77003	-0.944906	0.000602831	-4.48237e-05	0.929488	1.26364	0.266667	
1.04293	-6.26272	-3.13733	6.26272	-1.53234	-0.818059	0.00100046	-7.43772e-05	1.17182	1.59308	0.303144	
1.0429	-6.26253	-3.13729	6.26253	-3.06959	-1.63876	0.000962504	-7.15537e-05	1.18228	1.6073	0.303144	
1.04253	-6.26076	-3.13692	6.26076	-2.46575	-1.31643	0.00122561	-9.11073e-05	1.2837	1.74517	0.317239	
1.04111	-6.25397	-3.13551	6.25397	-0.556311	-0.297015	0.00167885	-0.000124763	1.67263	2.27389	0.359524	
1.04126	-6.25467	-3.13565	6.25467	-3.40277	-1.8169	0.00178304	-0.000132509	1.63231	2.21908	0.359524	
1.04298	-6.26292	-3.13737	6.26292	-6.2717	-3.34828	0.00093326	-6.93813e-05	1.15991	1.57689	0.3	
1.04204	-6.25843	-3.13644	6.25843	-1.43169	-0.764373	0.00132319	-9.8351e-05	1.41713	1.92656	0.333333	
1.0404	-6.25055	-3.1348	6.25055	-0.142152	-0.0758696	0.00249049	-0.000185054	1.86827	2.53985	0.387713	
