Error J1	Error J2	Error J3	Position J1	Position J2	Position J3	desTorque1	desTorque2	desTorque3	coriolis1	coriolis2	coriolis3	grav1	grav2	grav3	time	
-0.75592	0.0372802	0	-0.291278	0.660851	0	-192.784	-842.328	0.163402	0	0	0	21.5993	11.2671	0.0108671	0	
-0.75592	0.0372802	0	-0.291278	0.660851	0	-191.967	-82.7004	-0.012905	0	0	0	21.5993	11.2671	0.0108671	0	
-0.75592	0.0372802	0	-0.291278	0.660851	0	-191.967	-82.7004	-0.012905	0	0	0	21.5993	11.2671	0.0108671	0	
-0.75592	0.0372802	0	-0.291278	0.660851	0	-191.967	-82.7004	-0.012905	-13.9058	98.1349	-0.00333794	21.5993	11.2671	0.0108671	0.00333333	
-0.786237	-0.0305067	0.0428668	-0.26096	0.728638	-0.0428668	-573.491	-314.588	-0.0188644	-1.77466	65.8003	-0.00386046	21.6711	11.1267	0.0107383	0.00333333	
-0.836716	-0.071871	0.0725013	-0.210481	0.770003	-0.0725013	-651.365	-325.82	-0.0293567	3.65821	13.4088	-0.00168615	21.7463	10.8996	0.0105426	0.005	
-0.755137	0.298509	-0.138403	-0.292061	0.399623	0.138403	1318.34	949.817	-0.0123417	141.027	147.118	-0.0317902	21.4683	11.3458	0.0110078	0.01	
-0.75592	0.0372802	0	-0.291278	0.660851	0	-878.016	-630.938	0.0100325	-0.139058	0.981349	-3.33794e-05	21.5993	11.2671	0.0108671	0.000333333	
-0.756223	0.0366024	0.000428668	-0.290975	0.661529	-0.000428668	-195.777	-85.0255	-0.0129683	-0.123365	0.946376	-3.40787e-05	21.6	11.2657	0.0108659	0.000333333	
-0.756605	0.0357921	0.00094227	-0.290593	0.66234	-0.00094227	-196.82	-85.6452	-0.0129902	-0.258968	2.06841	-7.64567e-05	21.6009	11.2638	0.0108643	0.0005	
-0.758646	0.0315402	0.00364243	-0.288552	0.666592	-0.00364243	-217.153	-97.9197	-0.0133613	-0.833379	7.57993	-0.000302851	21.6054	11.2539	0.0108556	0.001	
-0.758649	0.0315398	0.00364341	-0.288548	0.666592	-0.00364341	-193.492	-83.6615	-0.0129203	-0.834044	7.58176	-0.000302974	21.6054	11.2539	0.0108556	0.001	
-0.760829	0.0271128	0.00646079	-0.286369	0.671019	-0.00646079	-219.647	-99.3937	-0.0134111	-1.43504	14.0282	-0.000586196	21.6102	11.2434	0.0108464	0.00140026	
-0.761258	0.0263373	0.0069597	-0.285939	0.671794	-0.0069597	-199.542	-87.2844	-0.0130362	-1.34329	13.6539	-0.000579784	21.6111	11.2413	0.0108445	0.00140026	
-0.762875	0.0232697	0.00892498	-0.284323	0.674862	-0.00892498	-213.698	-95.7348	-0.013317	-1.57619	16.9557	-0.00074117	21.6145	11.2335	0.0108377	0.00160038	
-0.768913	0.0122849	0.0159978	-0.278285	0.685847	-0.0159978	-264.791	-125.873	-0.0144093	-2.08144	27.0759	-0.0012909	21.6273	11.2044	0.0108122	0.00220077	
-0.768917	0.0122761	0.0160034	-0.278281	0.685856	-0.0160034	-198.861	-87.0011	-0.0129783	-2.0834	27.0803	-0.00129133	21.6273	11.2043	0.0108122	0.00220077	
-0.776525	-0.00105527	0.0246269	-0.270673	0.699187	-0.0246269	-284.504	-137.277	-0.0148544	-2.4946	38.7955	-0.00200126	21.6434	11.168	0.0107801	0.00286226	
-0.777527	-0.00221977	0.0254302	-0.26967	0.700351	-0.0254302	-212.329	-94.6696	-0.0133264	-2.16004	36.5409	-0.0019201	21.6452	11.1632	0.0107761	0.00286226	
-0.782416	-0.00971411	0.0303733	-0.264781	0.707846	-0.0303733	-255.24	-119.563	-0.0143309	-2.01076	39.7611	-0.00218934	21.6549	11.1401	0.0107559	0.00319301	
-0.79902	-0.0330361	0.0460033	-0.248178	0.731168	-0.0460033	-376.912	-188.136	-0.0176039	-0.900103	42.7911	-0.00273368	21.687	11.0626	0.0106876	0.00418526	
-0.799042	-0.0331819	0.046084	-0.248156	0.731314	-0.046084	-213.592	-95.8705	-0.0131726	-0.890195	42.7943	-0.00273628	21.6871	11.0624	0.0106874	0.00418526	
-0.816176	-0.0555487	0.0612836	-0.231021	0.75368	-0.0612836	-385.614	-192.05	-0.017944	0.567188	40.4079	-0.00300035	21.7199	10.9835	0.0106167	0.00514616	
-0.816853	-0.054673	0.0609347	-0.230344	0.752805	-0.0609347	-222.745	-99.968	-0.0136604	0.716641	35.8497	-0.00270379	21.7198	10.9803	0.0106149	0.00514616	
-0.825248	-0.0632714	0.0671294	-0.22195	0.761403	-0.0671294	-298.937	-142.132	-0.0158613	1.3727	30.0593	-0.00247082	21.7343	10.9419	0.0105812	0.0056266	
-0.848111	-0.082086	0.0817003	-0.199086	0.780218	-0.0817003	-424.692	-206.702	-0.0206854	2.15302	11.2445	-0.00132398	21.7707	10.838	0.0104915	0.00706795	
-0.848435	-0.0826355	0.0820332	-0.198763	0.780767	-0.0820332	-236.713	-108.813	-0.0136378	2.22231	11.0202	-0.00132027	21.7714	10.8366	0.01049	0.00706795	
-0.861814	-0.0908445	0.0891547	-0.185384	0.788976	-0.0891547	-342.932	-162.023	-0.0181007	1.53556	2.53004	-0.000591327	21.7906	10.7765	0.010439	0.00802884	
-0.860052	-0.087561	0.0871495	-0.187146	0.785693	-0.0871495	-217.534	-97.2011	-0.0133245	1.29784	2.20069	-0.00050876	21.7861	10.7847	0.0104477	0.00802884	
-0.863943	-0.087282	0.0879835	-0.183254	0.785414	-0.0879835	-261.654	-118.927	-0.0152887	0.500583	0.19556	-0.000230685	21.7891	10.7683	0.0104359	0.00850929	
-0.869634	-0.0779652	0.0852625	-0.177564	0.776097	-0.0852625	-249.298	-104.297	-0.0170439	-2.04981	2.15209	-6.8523e-05	21.7837	10.7496	0.0104313	0.00995063	
-0.858636	-0.088895	0.0874635	-0.188561	0.787027	-0.0874635	-197.303	-102.594	-0.00823776	1.77357	4.04592	-0.000737786	21.786	10.7907	0.0104512	0.00780065	
-0.857612	-0.0869859	0.0862976	-0.189585	0.785118	-0.0862976	-224.985	-101.674	-0.0134469	1.62604	3.80095	-0.000683313	21.7834	10.7955	0.0104562	0.00780065	
-0.861166	-0.0876067	0.087458	-0.186032	0.785738	-0.087458	-261.196	-119.618	-0.0150291	1.10086	1.53988	-0.000426587	21.787	10.7801	0.0104443	0.008167	
-0.868256	-0.0840971	0.0876193	-0.178942	0.782229	-0.0876193	-273.81	-120.795	-0.0169441	-0.945777	-0.0859077	-9.7785e-06	21.7893	10.7515	0.0104265	0.00926606	
-0.868323	-0.0840776	0.0876176	-0.178874	0.782209	-0.0876176	-239.319	-109.529	-0.013839	-0.955926	-0.0748775	-9.4179e-06	21.7893	10.7512	0.0104264	0.00926606	
-0.871116	-0.0789644	0.0860087	-0.176082	0.777096	-0.0860087	-242.919	-105.803	-0.0154932	-2.31939	2.7913	-9.0262e-05	21.7862	10.7422	0.0104246	0.00999876	
-0.869827	-0.0772407	0.0849417	-0.177371	0.775372	-0.0849417	-225.857	-101.766	-0.013544	-2.16957	2.56917	-8.98133e-05	21.7831	10.7491	0.0104314	0.00999876	
-0.869693	-0.0727679	0.0829635	-0.177505	0.7709	-0.0829635	-225.133	-98.5055	-0.0143033	-2.52182	4.47962	-0.000227188	21.7778	10.7532	0.010439	0.0103651	
-0.866308	-0.055833	0.0749324	-0.18089	0.753965	-0.0749324	-168.666	-61.0793	-0.0143406	-2.21703	10.7259	-0.000922575	21.7542	10.7833	0.0104793	0.0114642	
-0.870546	-0.0800076	0.0863369	-0.176651	0.778139	-0.0863369	-329.329	-171.727	-0.0130646	-2.04592	1.9645	-4.98137e-05	21.7868	10.7441	0.010425	0.00984927	
-0.869729	-0.0789156	0.0856609	-0.177468	0.777047	-0.0856609	-230.667	-104.525	-0.0136529	-1.9602	1.84366	-4.95983e-05	21.7849	10.7484	0.0104293	0.00984927	
-0.86986	-0.0756362	0.0842564	-0.177337	0.773768	-0.0842564	-230.376	-102.074	-0.0142696	-2.3223	3.24983	-0.000134475	21.7812	10.7502	0.010434	0.0101409	
-0.86819	-0.0632839	0.0785237	-0.179008	0.761416	-0.0785237	-193.015	-76.4719	-0.0145363	-2.62509	8.31756	-0.000603401	21.7652	10.7678	0.0104597	0.0110157	
-0.868187	-0.0632608	0.0785098	-0.17901	0.761392	-0.0785098	-235.995	-107.068	-0.0139484	-2.6207	8.33091	-0.00060467	21.7651	10.7678	0.0104598	0.0110157	
-0.86612	-0.0539302	0.0740377	-0.181077	0.752062	-0.0740377	-196.672	-80.5175	-0.0141049	-2.15059	12.0557	-0.00106575	21.752	10.7854	0.0104826	0.0115989	
-0.86555	-0.0533159	0.073681	-0.181647	0.751448	-0.073681	-228.789	-102.872	-0.0138178	-1.99283	11.4414	-0.0010329	21.7505	10.7891	0.0104861	0.0115989	
-0.863938	-0.0481133	0.0711516	-0.183259	0.746245	-0.0711516	-209.001	-89.5574	-0.0138793	-1.43385	12.6122	-0.00125254	21.7423	10.8019	0.0105014	0.0118905	
-0.858049	-0.0317278	0.0631891	-0.189148	0.72986	-0.0631891	-148.872	-51.652	-0.0133126	1.05259	14.1723	-0.00186903	21.7147	10.8488	0.0105548	0.0127653	
-0.858025	-0.0317066	0.0631722	-0.189173	0.729838	-0.0631722	-228.68	-102.297	-0.0140243	1.05919	14.1806	-0.00187068	21.7146	10.8489	0.0105549	0.0127653	
-0.852168	-0.0167139	0.0559476	-0.19503	0.714846	-0.0559476	-149.046	-52.2126	-0.0131829	3.89141	13.9826	-0.00238913	21.688	10.8962	0.0106072	0.0135585	
-0.851856	-0.0168396	0.056104	-0.195342	0.714971	-0.056104	-223.441	-99.337	-0.0139182	3.88874	12.5736	-0.00225084	21.6867	10.8996	0.0106105	0.0135585	
-0.848914	-0.0101882	0.0531172	-0.198284	0.70832	-0.0531172	-187.366	-76.5955	-0.0135305	5.19511	10.8486	-0.00233742	21.6728	10.9257	0.0106386	0.0139551	
-0.84064	0.0068703	0.0461757	-0.206558	0.691261	-0.0461757	-121.711	-36.3512	-0.0123647	7.91209	3.93369	-0.00222058	21.6314	11.0054	0.0107234	0.0151448	
-0.840523	0.00699256	0.0460897	-0.206675	0.691139	-0.0460897	-217.469	-95.2832	-0.0140422	7.91801	3.91065	-0.00222165	21.6312	11.006	0.0107239	0.0151448	
-0.834337	0.0185953	0.0420433	-0.21286	0.679536	-0.0420433	-145.623	-51.3371	-0.0126604	8.42545	-0.73003	-0.00190076	21.5977	11.0713	0.0107923	0.016135	
-0.83519	0.0160315	0.043731	-0.212007	0.6821	-0.043731	-227.57	-101.626	-0.014191	7.8213	-1.03548	-0.00174199	21.5994	11.0687	0.0107899	0.016135	
-0.833638	0.0178862	0.0442548	-0.213559	0.680246	-0.0442548	-199.939	-84.7007	-0.0136317	6.94147	-2.12865	-0.00145226	21.5861	11.0949	0.0108179	0.0166301	
-0.832573	0.0154478	0.0510198	-0.214625	0.682684	-0.0510198	-212.819	-92.8948	-0.0134649	2.16033	0.79719	-0.000629625	21.5539	11.1572	0.0108864	0.0181154	
-0.836188	0.0151232	0.0432541	-0.211009	0.683008	-0.0432541	-241.625	-109.071	-0.0155011	8.39535	0.381561	-0.00199451	21.6077	11.0518	0.010772	0.0158387	
-0.836607	0.0138642	0.0440829	-0.21059	0.684267	-0.0440829	-222.242	-98.2384	-0.0141339	8.11004	0.16623	-0.00191352	21.6086	11.0505	0.0107708	0.0158387	
-0.835126	0.0161006	0.0438515	-0.212071	0.682031	-0.0438515	-200.269	-84.8208	-0.0136943	7.7783	-1.1341	-0.0017238	21.5983	11.0707	0.0107922	0.0161857	
-0.832375	0.0186462	0.0458567	-0.214822	0.679485	-0.0458567	-189.604	-78.6871	-0.0132144	5.31146	-2.06087	-0.00109734	21.5712	11.124	0.0108492	0.0172265	
-0.832362	0.0186845	0.0458366	-0.214836	0.679447	-0.0458366	-214.086	-93.177	-0.0140918	5.29514	-2.05401	-0.00109421	21.5711	11.1242	0.0108494	0.0172265	
