This file print the force that are interested on:
tibiaBushingForce1.tibia_r.force.X	tibiaBushingForce1.tibia_r.force.Y	tibiaBushingForce1.tibia_r.force.Z	tibiaBushingForce1.tibia_r.torque.X	tibiaBushingForce1.tibia_r.torque.Y	tibiaBushingForce1.tibia_r.torque.Z	
2910.256	889.233	2254.980	-954.262	849.005	1503.058	
2910.313	888.945	2255.002	-954.217	848.995	1502.679	
2910.675	887.129	2255.139	-953.927	848.929	1500.200	
2912.894	876.282	2255.972	-952.151	848.543	1485.291	
2919.149	847.745	2258.256	-947.223	847.636	1446.102	
2929.213	806.455	2261.780	-939.465	846.613	1389.750	
2940.784	764.094	2265.657	-930.727	845.937	1332.494	
2952.728	724.682	2269.501	-921.854	845.679	1279.849	
2965.937	685.235	2273.592	-912.186	845.829	1227.924	
2978.396	651.578	2277.312	-903.199	846.353	1184.441	
2990.895	621.269	2280.908	-894.337	847.251	1146.235	
3002.960	595.737	2284.237	-885.984	848.514	1115.234	
3012.057	579.530	2286.635	-879.880	849.779	1096.665	
3017.906	570.914	2288.113	-876.085	850.771	1087.563	
3023.372	564.520	2289.438	-872.664	851.858	1081.656	
3027.865	560.806	2290.477	-869.975	852.898	1079.209	
3032.011	558.985	2291.383	-867.625	854.007	1079.455	
3035.795	559.101	2292.154	-865.628	855.184	1082.441	
3040.327	562.385	2292.981	-863.499	856.881	1090.900	
3045.167	572.011	2293.681	-861.739	859.253	1109.426	
3049.461	591.734	2293.978	-861.103	862.387	1143.239	
3052.004	619.540	2293.700	-862.028	865.748	1188.402	
3052.854	668.479	2292.518	-865.449	870.638	1265.579	
3051.226	726.530	2290.647	-870.676	875.795	1355.922	
3048.109	788.967	2288.441	-876.745	881.137	1453.143	
3045.412	839.197	2286.702	-881.525	885.548	1532.190	
3043.415	886.108	2285.268	-885.560	889.979	1607.436	
3042.871	927.040	2284.360	-888.335	894.362	1675.233	
3044.385	959.634	2284.157	-889.451	898.610	1732.277	
3048.354	981.944	2284.771	-888.638	902.625	1775.771	
3054.963	992.528	2286.253	-885.748	906.307	1803.578	
3064.210	990.494	2288.597	-880.727	909.580	1814.321	
3075.964	975.531	2291.759	-873.585	912.398	1807.459	
3090.014	947.913	2295.675	-864.371	914.762	1783.320	
3106.106	908.489	2300.267	-853.162	916.717	1743.095	
3129.504	842.223	2307.070	-835.877	918.787	1670.465	
3155.095	762.792	2314.617	-815.856	920.567	1580.430	
3181.968	675.512	2322.605	-793.757	922.316	1480.585	
3209.045	586.355	2330.671	-770.531	924.258	1379.318	
3235.193	501.439	2338.434	-747.367	926.545	1285.047	
3259.397	426.466	2345.551	-725.547	929.263	1205.470	
3280.918	366.221	2351.768	-706.262	932.448	1146.934	
3296.889	329.004	2356.266	-692.484	935.550	1117.021	
3310.477	306.423	2359.964	-681.652	938.984	1107.508	
3319.984	299.089	2362.444	-675.008	942.087	1115.539	
3327.854	301.975	2364.397	-670.545	945.384	1137.719	
3337.304	326.428	2366.543	-667.633	951.068	1201.009	
3343.148	370.738	2367.649	-669.155	957.064	1291.898	
3346.232	427.853	2368.042	-673.636	963.217	1400.849	
3347.480	478.147	2368.100	-678.284	968.222	1495.252	
3348.137	518.163	2368.122	-682.049	972.207	1571.168	
3348.807	554.771	2368.221	-685.327	976.036	1642.673	
3349.745	585.834	2368.465	-687.762	979.642	1706.774	
3351.134	609.563	2368.898	-689.075	982.964	1760.945	
3353.099	624.594	2369.547	-689.067	985.959	1803.252	
3355.715	630.031	2370.426	-687.599	988.605	1832.438	
3359.024	625.470	2371.546	-684.590	990.901	1847.973	
