Error J1	Error J2	Error J3	Position J1	Position J2	Position J3	desTorque1	desTorque2	desTorque3	coriolis1	coriolis2	coriolis3	grav1	grav2	grav3	time	
0.872665	-1.62897	0.349066	0	0	0	0.29351	0.0792168	-0.0188693	0	0	0	0.299006	0.122742	-0.401094	0	
0.872665	-1.62897	0.349066	0	0	0	0.29351	0.0792168	-0.0188693	0	0	0	0.299006	0.122742	-0.401094	0	
0.872665	-1.62897	0.349066	0	0	0	0.29351	0.0792168	-0.0188693	0	0	0	0.299006	0.122742	-0.401094	0	
0.872665	-1.62897	0.349066	0	0	0	0.29351	0.0792168	-0.0188693	1.60822e-07	1.4443e-07	4.22043e-07	0.299006	0.122742	-0.401094	0.00333333	
0.872657	-1.62896	0.349064	7.34008e-06	-9.17655e-06	1.48159e-06	0.293257	0.0791464	-0.018855	1.60797e-07	1.44404e-07	4.2204e-07	0.298983	0.122747	-0.401094	0.00333333	
0.872648	-1.62895	0.349063	1.65152e-05	-2.06472e-05	3.33358e-06	0.293187	0.0791252	-0.0188531	3.61267e-07	3.24424e-07	9.48375e-07	0.298954	0.122754	-0.401094	0.005	
0.872599	-1.62889	0.349053	6.59765e-05	-8.24841e-05	1.33174e-05	0.291791	0.0787346	-0.0187769	1.44296e-06	1.29556e-06	3.79163e-06	0.298799	0.122788	-0.401093	0.01	
0.872599	-1.62889	0.349053	6.60136e-05	-8.25304e-05	1.33249e-05	0.293453	0.0791832	-0.0188838	1.44063e-06	1.29347e-06	3.78553e-06	0.298799	0.122788	-0.401093	0.01	
0.872411	-1.62866	0.349015	0.000253598	-0.000317049	5.11891e-05	0.28699	0.0773866	-0.0185199	8.43535e-06	7.56831e-06	2.22477e-05	0.298212	0.122919	-0.401089	0.0242216	
0.872277	-1.62849	0.348988	0.000387197	-0.00048408	7.81571e-05	0.288694	0.0778095	-0.018666	8.30555e-06	7.448e-06	2.19629e-05	0.297794	0.123013	-0.401087	0.0242216	
0.87202	-1.62817	0.348936	0.000644727	-0.000806062	0.000130144	0.284313	0.0765564	-0.0184545	1.3784e-05	1.23483e-05	3.66352e-05	0.296989	0.123193	-0.401082	0.0313324	
0.870849	-1.6267	0.348699	0.00181595	-0.00227056	0.000366611	0.252633	0.0676938	-0.0167305	3.63674e-05	3.24264e-05	9.89563e-05	0.293325	0.124012	-0.401061	0.0526648	
0.870858	-1.62671	0.348701	0.00180698	-0.00225934	0.000364801	0.292303	0.0783875	-0.0192887	3.60115e-05	3.21103e-05	9.79699e-05	0.293353	0.124006	-0.401061	0.0526648	
0.871931	-1.62806	0.348918	0.000733582	-0.00091716	0.000148082	0.328969	0.0885677	-0.0213645	1.48568e-05	1.33048e-05	3.95564e-05	0.296711	0.123255	-0.401081	0.0333333	
0.869141	-1.62457	0.348355	0.0035232	-0.00440547	0.000711341	0.196832	0.0521879	-0.0136034	7.83484e-05	6.93501e-05	0.000220885	0.287984	0.125207	-0.40103	0.078226	
0.86871	-1.62403	0.348267	0.00395438	-0.00494489	0.000798463	0.275753	0.0733463	-0.0187937	6.94672e-05	6.13655e-05	0.000197621	0.286636	0.12551	-0.401022	0.078226	
0.86747	-1.62248	0.348017	0.0051948	-0.00649673	0.0010491	0.247583	0.0654431	-0.0172887	9.93927e-05	8.7286e-05	0.000290423	0.282757	0.12638	-0.400999	0.0910066	
0.86151	-1.61502	0.346812	0.0111547	-0.0139549	0.00225383	0.0845737	0.0201806	-0.00820714	0.000137948	0.000117071	0.000463971	0.264123	0.130567	-0.40089	0.129348	
0.862209	-1.61589	0.346953	0.0104554	-0.0130803	0.00211258	0.308253	0.0802486	-0.0226983	0.000140707	0.000119951	0.000464844	0.266311	0.130077	-0.400902	0.129348	
0.869776	-1.62536	0.348483	0.00288828	-0.00361157	0.000583155	0.54459	0.14562	-0.0363405	5.44669e-05	4.83445e-05	0.000151511	0.289971	0.124763	-0.401042	0.0666667	
0.866215	-1.62091	0.347763	0.00644984	-0.00806682	0.00130268	0.168644	0.043886	-0.0125039	9.37305e-05	8.17954e-05	0.000281637	0.278832	0.12726	-0.400976	0.1	
0.856593	-1.60886	0.345817	0.016072	-0.0201124	0.00324877	-0.0417088	-0.0146967	-0.00109848	0.000225415	0.000183975	0.000866833	0.248756	0.134032	-0.400798	0.167637	
0.855558	-1.60756	0.345607	0.0171065	-0.0214105	0.00345874	0.245014	0.0616683	-0.0201602	0.000158055	0.000127667	0.00062619	0.245532	0.134769	-0.400778	0.167637	
0.852752	-1.60404	0.345038	0.0199123	-0.0249303	0.00402801	0.183944	0.0448831	-0.016606	0.000231291	0.000181051	0.00100126	0.23678	0.136765	-0.400724	0.186781	
0.833564	-1.57998	0.341146	0.0391005	-0.0489961	0.00791973	-0.375585	-0.10704	0.0165019	9.19206e-05	2.28031e-05	0.00112425	0.176894	0.150393	-0.400354	0.244214	
0.858653	-1.61144	0.346234	0.0140111	-0.0175321	0.00283187	1.11395	0.290156	-0.0814517	0.000194446	0.000161547	0.000705122	0.255198	0.132581	-0.400836	0.153588	
0.858239	-1.61092	0.34615	0.0144257	-0.0180523	0.00291602	0.267756	0.0683633	-0.0210582	0.000299126	0.000247591	0.00109637	0.253906	0.132876	-0.400828	0.153588	
0.854724	-1.60652	0.345438	0.0179403	-0.0224575	0.00362816	0.161655	0.0393672	-0.0147122	0.000197213	0.000157982	0.000802324	0.242934	0.135365	-0.400761	0.165708	
0.853377	-1.60483	0.345165	0.0192873	-0.0241447	0.00390083	0.232479	0.0575636	-0.0200993	0.000154063	0.000121305	0.000650148	0.238725	0.136316	-0.400736	0.202067	
0.860272	-1.61347	0.346561	0.0123924	-0.0155054	0.00250441	0.512748	0.133622	-0.0375078	0.000169847	0.000142872	0.000589634	0.260258	0.131441	-0.400866	0.142553	
0.860149	-1.61331	0.346536	0.0125154	-0.0156597	0.00252938	0.278994	0.0718402	-0.0213406	0.000182187	0.000153106	0.000634451	0.259874	0.131529	-0.400864	0.142553	
0.858935	-1.61179	0.346291	0.0137293	-0.0171803	0.00277511	0.24156	0.0615508	-0.0191497	0.000178763	0.000148842	0.000643162	0.256082	0.132385	-0.400841	0.149155	
0.855808	-1.60788	0.345657	0.0168565	-0.0210984	0.00340839	0.175261	0.0431573	-0.0154563	0.000190921	0.000154596	0.000750757	0.246316	0.134596	-0.400782	0.168961	
0.855445	-1.60742	0.345584	0.0172194	-0.0215531	0.00348189	0.267055	0.0673309	-0.0218461	0.000197087	0.000159028	0.000783731	0.245182	0.134853	-0.400775	0.168961	
0.861614	-1.61515	0.346833	0.011051	-0.013826	0.00223307	0.489901	0.128098	-0.0354387	0.000148862	0.000126403	0.000499193	0.26445	0.130496	-0.400891	0.133333	
0.855881	-1.60797	0.345672	0.0167835	-0.0210069	0.00339359	0.0883509	0.0200968	-0.00958427	0.000193978	0.000157201	0.000761335	0.246543	0.134544	-0.400784	0.166667	
0.852924	-1.60426	0.345073	0.0197404	-0.0247126	0.00399263	0.178643	0.0432985	-0.0164449	0.000214193	0.000168048	0.000922273	0.23731	0.136637	-0.400727	0.182165	
0.852816	-1.60413	0.345051	0.0198485	-0.0248487	0.00401468	0.273411	0.0682978	-0.0229745	0.000208082	0.000163029	0.000899075	0.236975	0.136715	-0.400725	0.182165	
